,Player 1,Player 2,Number of Rounds,Game Type,Player 1 Score,Player 2 Score
0,Two tits for a tat,Two tits for a tat,5,5 rounds,15,15
1,Two tits for a tat,Two tits for a tat,100,100 rounds,300,300
2,Two tits for a tat,Two tits for a tat,200,200 rounds,600,600
3,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
4,Two tits for a tat,Two tits for a tat,58,Beta = 0.95,174,174
5,Two tits for a tat,Two tits for a tat,45,Beta = 0.99,135,135
6,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
7,Two tits for a tat,Two tits for a tat,13,Beta = 0.95,39,39
8,Two tits for a tat,Two tits for a tat,84,Beta = 0.99,252,252
9,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
10,Two tits for a tat,Two tits for a tat,13,Beta = 0.95,39,39
11,Two tits for a tat,Two tits for a tat,9,Beta = 0.99,27,27
12,Two tits for a tat,Two tits for a tat,5,Beta = 0.9,15,15
13,Two tits for a tat,Two tits for a tat,26,Beta = 0.95,78,78
14,Two tits for a tat,Two tits for a tat,41,Beta = 0.99,123,123
15,Two tits for a tat,Two tits for a tat,1,Beta = 0.9,3,3
16,Two tits for a tat,Two tits for a tat,12,Beta = 0.95,36,36
17,Two tits for a tat,Two tits for a tat,65,Beta = 0.99,195,195
18,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
19,Two tits for a tat,Two tits for a tat,15,Beta = 0.95,45,45
20,Two tits for a tat,Two tits for a tat,9,Beta = 0.99,27,27
21,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
22,Two tits for a tat,Two tits for a tat,18,Beta = 0.95,54,54
23,Two tits for a tat,Two tits for a tat,163,Beta = 0.99,489,489
24,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
25,Two tits for a tat,Two tits for a tat,49,Beta = 0.95,147,147
26,Two tits for a tat,Two tits for a tat,74,Beta = 0.99,222,222
27,Two tits for a tat,Two tits for a tat,5,Beta = 0.9,15,15
28,Two tits for a tat,Two tits for a tat,33,Beta = 0.95,99,99
29,Two tits for a tat,Two tits for a tat,28,Beta = 0.99,84,84
30,Two tits for a tat,Two tits for a tat,6,Beta = 0.9,18,18
31,Two tits for a tat,Two tits for a tat,20,Beta = 0.95,60,60
32,Two tits for a tat,Two tits for a tat,57,Beta = 0.99,171,171
33,Two tits for a tat,Two tits for a tat,4,Beta = 0.9,12,12
34,Two tits for a tat,Two tits for a tat,36,Beta = 0.95,108,108
35,Two tits for a tat,Two tits for a tat,57,Beta = 0.99,171,171
36,Two tits for a tat,Two tits for a tat,5,Beta = 0.9,15,15
37,Two tits for a tat,Two tits for a tat,51,Beta = 0.95,153,153
38,Two tits for a tat,Two tits for a tat,47,Beta = 0.99,141,141
39,Two tits for a tat,Two tits for a tat,5,Beta = 0.9,15,15
40,Two tits for a tat,Two tits for a tat,16,Beta = 0.95,48,48
41,Two tits for a tat,Two tits for a tat,51,Beta = 0.99,153,153
42,Two tits for a tat,Two tits for a tat,4,Beta = 0.9,12,12
43,Two tits for a tat,Two tits for a tat,4,Beta = 0.95,12,12
44,Two tits for a tat,Two tits for a tat,36,Beta = 0.99,108,108
45,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
46,Two tits for a tat,Two tits for a tat,13,Beta = 0.95,39,39
47,Two tits for a tat,Two tits for a tat,30,Beta = 0.99,90,90
48,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
49,Two tits for a tat,Two tits for a tat,16,Beta = 0.95,48,48
50,Two tits for a tat,Two tits for a tat,195,Beta = 0.99,585,585
51,Two tits for a tat,Two tits for a tat,6,Beta = 0.9,18,18
52,Two tits for a tat,Two tits for a tat,8,Beta = 0.95,24,24
53,Two tits for a tat,Two tits for a tat,166,Beta = 0.99,498,498
54,Two tits for a tat,Two tits for a tat,5,Beta = 0.9,15,15
55,Two tits for a tat,Two tits for a tat,3,Beta = 0.95,9,9
56,Two tits for a tat,Two tits for a tat,46,Beta = 0.99,138,138
57,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
58,Two tits for a tat,Two tits for a tat,11,Beta = 0.95,33,33
59,Two tits for a tat,Two tits for a tat,84,Beta = 0.99,252,252
60,Two tits for a tat,Two tits for a tat,1,Beta = 0.9,3,3
61,Two tits for a tat,Two tits for a tat,10,Beta = 0.95,30,30
62,Two tits for a tat,Two tits for a tat,208,Beta = 0.99,624,624
63,Two tits for a tat,Two tits for a tat,8,Beta = 0.9,24,24
64,Two tits for a tat,Two tits for a tat,13,Beta = 0.95,39,39
65,Two tits for a tat,Two tits for a tat,24,Beta = 0.99,72,72
66,Two tits for a tat,Two tits for a tat,1,Beta = 0.9,3,3
67,Two tits for a tat,Two tits for a tat,40,Beta = 0.95,120,120
68,Two tits for a tat,Two tits for a tat,5,Beta = 0.99,15,15
69,Two tits for a tat,Two tits for a tat,1,Beta = 0.9,3,3
70,Two tits for a tat,Two tits for a tat,15,Beta = 0.95,45,45
71,Two tits for a tat,Two tits for a tat,34,Beta = 0.99,102,102
72,Two tits for a tat,Two tits for a tat,2,Beta = 0.9,6,6
73,Two tits for a tat,Two tits for a tat,68,Beta = 0.95,204,204
74,Two tits for a tat,Two tits for a tat,114,Beta = 0.99,342,342
75,Two tits for a tat,Two tits for a tat,7,Beta = 0.9,21,21
76,Two tits for a tat,Two tits for a tat,9,Beta = 0.95,27,27
77,Two tits for a tat,Two tits for a tat,3,Beta = 0.99,9,9
78,Two tits for a tat,Two tits for a tat,4,Beta = 0.9,12,12
79,Two tits for a tat,Two tits for a tat,14,Beta = 0.95,42,42
80,Two tits for a tat,Two tits for a tat,399,Beta = 0.99,1197,1197
81,Two tits for a tat,Two tits for a tat,6,Beta = 0.9,18,18
82,Two tits for a tat,Two tits for a tat,7,Beta = 0.95,21,21
83,Two tits for a tat,Two tits for a tat,461,Beta = 0.99,1383,1383
84,Two tits for a tat,Two tits for a tat,8,Beta = 0.9,24,24
85,Two tits for a tat,Two tits for a tat,2,Beta = 0.95,6,6
86,Two tits for a tat,Two tits for a tat,4,Beta = 0.99,12,12
87,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
88,Two tits for a tat,Two tits for a tat,2,Beta = 0.95,6,6
89,Two tits for a tat,Two tits for a tat,118,Beta = 0.99,354,354
90,Two tits for a tat,Two tits for a tat,3,Beta = 0.9,9,9
91,Two tits for a tat,Two tits for a tat,6,Beta = 0.95,18,18
92,Two tits for a tat,Two tits for a tat,19,Beta = 0.99,57,57
93,Two tits for a tat,Always defect,5,5 rounds,9,13
94,Two tits for a tat,Always defect,100,100 rounds,199,203
95,Two tits for a tat,Always defect,200,200 rounds,399,403
96,Two tits for a tat,Always defect,2,Beta = 0.9,3,7
97,Two tits for a tat,Always defect,9,Beta = 0.95,17,21
98,Two tits for a tat,Always defect,94,Beta = 0.99,187,191
99,Two tits for a tat,Always defect,2,Beta = 0.9,3,7
100,Two tits for a tat,Always defect,39,Beta = 0.95,77,81
101,Two tits for a tat,Always defect,33,Beta = 0.99,65,69
102,Two tits for a tat,Always defect,5,Beta = 0.9,9,13
103,Two tits for a tat,Always defect,9,Beta = 0.95,17,21
104,Two tits for a tat,Always defect,200,Beta = 0.99,399,403
105,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
106,Two tits for a tat,Always defect,7,Beta = 0.95,13,17
107,Two tits for a tat,Always defect,72,Beta = 0.99,143,147
108,Two tits for a tat,Always defect,8,Beta = 0.9,15,19
109,Two tits for a tat,Always defect,15,Beta = 0.95,29,33
110,Two tits for a tat,Always defect,161,Beta = 0.99,321,325
111,Two tits for a tat,Always defect,4,Beta = 0.9,7,11
112,Two tits for a tat,Always defect,18,Beta = 0.95,35,39
113,Two tits for a tat,Always defect,1,Beta = 0.99,1,5
114,Two tits for a tat,Always defect,10,Beta = 0.9,19,23
115,Two tits for a tat,Always defect,5,Beta = 0.95,9,13
116,Two tits for a tat,Always defect,387,Beta = 0.99,773,777
117,Two tits for a tat,Always defect,7,Beta = 0.9,13,17
118,Two tits for a tat,Always defect,8,Beta = 0.95,15,19
119,Two tits for a tat,Always defect,160,Beta = 0.99,319,323
120,Two tits for a tat,Always defect,3,Beta = 0.9,5,9
121,Two tits for a tat,Always defect,10,Beta = 0.95,19,23
122,Two tits for a tat,Always defect,94,Beta = 0.99,187,191
123,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
124,Two tits for a tat,Always defect,7,Beta = 0.95,13,17
125,Two tits for a tat,Always defect,1,Beta = 0.99,1,5
126,Two tits for a tat,Always defect,9,Beta = 0.9,17,21
127,Two tits for a tat,Always defect,31,Beta = 0.95,61,65
128,Two tits for a tat,Always defect,7,Beta = 0.99,13,17
129,Two tits for a tat,Always defect,3,Beta = 0.9,5,9
130,Two tits for a tat,Always defect,48,Beta = 0.95,95,99
131,Two tits for a tat,Always defect,8,Beta = 0.99,15,19
132,Two tits for a tat,Always defect,6,Beta = 0.9,11,15
133,Two tits for a tat,Always defect,9,Beta = 0.95,17,21
134,Two tits for a tat,Always defect,56,Beta = 0.99,111,115
135,Two tits for a tat,Always defect,14,Beta = 0.9,27,31
136,Two tits for a tat,Always defect,80,Beta = 0.95,159,163
137,Two tits for a tat,Always defect,28,Beta = 0.99,55,59
138,Two tits for a tat,Always defect,4,Beta = 0.9,7,11
139,Two tits for a tat,Always defect,5,Beta = 0.95,9,13
140,Two tits for a tat,Always defect,42,Beta = 0.99,83,87
141,Two tits for a tat,Always defect,9,Beta = 0.9,17,21
142,Two tits for a tat,Always defect,11,Beta = 0.95,21,25
143,Two tits for a tat,Always defect,21,Beta = 0.99,41,45
144,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
145,Two tits for a tat,Always defect,25,Beta = 0.95,49,53
146,Two tits for a tat,Always defect,58,Beta = 0.99,115,119
147,Two tits for a tat,Always defect,2,Beta = 0.9,3,7
148,Two tits for a tat,Always defect,22,Beta = 0.95,43,47
149,Two tits for a tat,Always defect,253,Beta = 0.99,505,509
150,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
151,Two tits for a tat,Always defect,18,Beta = 0.95,35,39
152,Two tits for a tat,Always defect,218,Beta = 0.99,435,439
153,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
154,Two tits for a tat,Always defect,1,Beta = 0.95,1,5
155,Two tits for a tat,Always defect,285,Beta = 0.99,569,573
156,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
157,Two tits for a tat,Always defect,26,Beta = 0.95,51,55
158,Two tits for a tat,Always defect,32,Beta = 0.99,63,67
159,Two tits for a tat,Always defect,3,Beta = 0.9,5,9
160,Two tits for a tat,Always defect,5,Beta = 0.95,9,13
161,Two tits for a tat,Always defect,34,Beta = 0.99,67,71
162,Two tits for a tat,Always defect,1,Beta = 0.9,1,5
163,Two tits for a tat,Always defect,3,Beta = 0.95,5,9
164,Two tits for a tat,Always defect,4,Beta = 0.99,7,11
165,Two tits for a tat,Always defect,9,Beta = 0.9,17,21
166,Two tits for a tat,Always defect,33,Beta = 0.95,65,69
167,Two tits for a tat,Always defect,41,Beta = 0.99,81,85
168,Two tits for a tat,Always defect,3,Beta = 0.9,5,9
169,Two tits for a tat,Always defect,4,Beta = 0.95,7,11
170,Two tits for a tat,Always defect,4,Beta = 0.99,7,11
171,Two tits for a tat,Always defect,4,Beta = 0.9,7,11
172,Two tits for a tat,Always defect,8,Beta = 0.95,15,19
173,Two tits for a tat,Always defect,201,Beta = 0.99,401,405
174,Two tits for a tat,Always defect,4,Beta = 0.9,7,11
175,Two tits for a tat,Always defect,20,Beta = 0.95,39,43
176,Two tits for a tat,Always defect,1,Beta = 0.99,1,5
177,Two tits for a tat,Always defect,7,Beta = 0.9,13,17
178,Two tits for a tat,Always defect,31,Beta = 0.95,61,65
179,Two tits for a tat,Always defect,210,Beta = 0.99,419,423
180,Two tits for a tat,Always defect,2,Beta = 0.9,3,7
181,Two tits for a tat,Always defect,4,Beta = 0.95,7,11
182,Two tits for a tat,Always defect,62,Beta = 0.99,123,127
183,Two tits for a tat,Always defect,10,Beta = 0.9,19,23
184,Two tits for a tat,Always defect,3,Beta = 0.95,5,9
185,Two tits for a tat,Always defect,227,Beta = 0.99,453,457
186,Two tits for a tat,Random,5,5 rounds,15,11
187,Two tits for a tat,Random,100,100 rounds,322,210
188,Two tits for a tat,Random,200,200 rounds,638,450
189,Two tits for a tat,Random,15,Beta = 0.9,43,31
190,Two tits for a tat,Random,23,Beta = 0.95,67,55
191,Two tits for a tat,Random,96,Beta = 0.99,303,207
192,Two tits for a tat,Random,3,Beta = 0.9,8,8
193,Two tits for a tat,Random,2,Beta = 0.95,6,6
194,Two tits for a tat,Random,125,Beta = 0.99,378,274
195,Two tits for a tat,Random,4,Beta = 0.9,10,10
196,Two tits for a tat,Random,8,Beta = 0.95,23,23
197,Two tits for a tat,Random,53,Beta = 0.99,171,107
198,Two tits for a tat,Random,3,Beta = 0.9,5,9
199,Two tits for a tat,Random,2,Beta = 0.95,4,8
200,Two tits for a tat,Random,222,Beta = 0.99,693,465
201,Two tits for a tat,Random,3,Beta = 0.9,9,9
202,Two tits for a tat,Random,9,Beta = 0.95,31,19
203,Two tits for a tat,Random,43,Beta = 0.99,138,98
204,Two tits for a tat,Random,7,Beta = 0.9,24,16
205,Two tits for a tat,Random,36,Beta = 0.95,110,82
206,Two tits for a tat,Random,11,Beta = 0.99,39,27
207,Two tits for a tat,Random,1,Beta = 0.9,3,3
208,Two tits for a tat,Random,6,Beta = 0.95,19,15
209,Two tits for a tat,Random,11,Beta = 0.99,36,28
210,Two tits for a tat,Random,1,Beta = 0.9,1,5
211,Two tits for a tat,Random,5,Beta = 0.95,16,12
212,Two tits for a tat,Random,63,Beta = 0.99,200,132
213,Two tits for a tat,Random,3,Beta = 0.9,8,8
214,Two tits for a tat,Random,58,Beta = 0.95,186,126
215,Two tits for a tat,Random,7,Beta = 0.99,19,19
216,Two tits for a tat,Random,11,Beta = 0.9,35,27
217,Two tits for a tat,Random,14,Beta = 0.95,47,35
218,Two tits for a tat,Random,39,Beta = 0.99,121,89
219,Two tits for a tat,Random,2,Beta = 0.9,6,6
220,Two tits for a tat,Random,18,Beta = 0.95,57,41
221,Two tits for a tat,Random,10,Beta = 0.99,26,26
222,Two tits for a tat,Random,1,Beta = 0.9,3,3
223,Two tits for a tat,Random,16,Beta = 0.95,46,38
224,Two tits for a tat,Random,18,Beta = 0.99,51,43
225,Two tits for a tat,Random,1,Beta = 0.9,3,3
226,Two tits for a tat,Random,1,Beta = 0.95,1,5
227,Two tits for a tat,Random,32,Beta = 0.99,91,71
228,Two tits for a tat,Random,8,Beta = 0.9,21,21
229,Two tits for a tat,Random,34,Beta = 0.95,106,78
230,Two tits for a tat,Random,15,Beta = 0.99,45,33
231,Two tits for a tat,Random,3,Beta = 0.9,6,10
232,Two tits for a tat,Random,41,Beta = 0.95,126,94
233,Two tits for a tat,Random,90,Beta = 0.99,278,202
234,Two tits for a tat,Random,3,Beta = 0.9,6,10
235,Two tits for a tat,Random,17,Beta = 0.95,48,36
236,Two tits for a tat,Random,82,Beta = 0.99,257,165
237,Two tits for a tat,Random,3,Beta = 0.9,11,7
238,Two tits for a tat,Random,16,Beta = 0.95,48,32
239,Two tits for a tat,Random,39,Beta = 0.99,120,92
240,Two tits for a tat,Random,6,Beta = 0.9,16,20
241,Two tits for a tat,Random,18,Beta = 0.95,54,42
242,Two tits for a tat,Random,247,Beta = 0.99,779,507
243,Two tits for a tat,Random,1,Beta = 0.9,3,3
244,Two tits for a tat,Random,16,Beta = 0.95,54,30
245,Two tits for a tat,Random,523,Beta = 0.99,1624,1116
246,Two tits for a tat,Random,10,Beta = 0.9,27,23
247,Two tits for a tat,Random,7,Beta = 0.95,16,16
248,Two tits for a tat,Random,68,Beta = 0.99,203,139
249,Two tits for a tat,Random,3,Beta = 0.9,7,11
250,Two tits for a tat,Random,6,Beta = 0.95,17,13
251,Two tits for a tat,Random,4,Beta = 0.99,11,11
252,Two tits for a tat,Random,3,Beta = 0.9,9,9
253,Two tits for a tat,Random,5,Beta = 0.95,13,17
254,Two tits for a tat,Random,12,Beta = 0.99,36,24
255,Two tits for a tat,Random,9,Beta = 0.9,27,23
256,Two tits for a tat,Random,3,Beta = 0.95,7,11
257,Two tits for a tat,Random,88,Beta = 0.99,264,196
258,Two tits for a tat,Random,1,Beta = 0.9,1,5
259,Two tits for a tat,Random,65,Beta = 0.95,204,136
260,Two tits for a tat,Random,134,Beta = 0.99,425,293
261,Two tits for a tat,Random,3,Beta = 0.9,11,7
262,Two tits for a tat,Random,1,Beta = 0.95,1,5
263,Two tits for a tat,Random,8,Beta = 0.99,24,20
264,Two tits for a tat,Random,9,Beta = 0.9,28,24
265,Two tits for a tat,Random,10,Beta = 0.95,27,23
266,Two tits for a tat,Random,89,Beta = 0.99,274,190
267,Two tits for a tat,Random,1,Beta = 0.9,1,5
268,Two tits for a tat,Random,23,Beta = 0.95,70,50
269,Two tits for a tat,Random,79,Beta = 0.99,251,167
270,Two tits for a tat,Random,5,Beta = 0.9,11,15
271,Two tits for a tat,Random,72,Beta = 0.95,219,159
272,Two tits for a tat,Random,123,Beta = 0.99,382,262
273,Two tits for a tat,Random,5,Beta = 0.9,15,11
274,Two tits for a tat,Random,2,Beta = 0.95,3,7
275,Two tits for a tat,Random,8,Beta = 0.99,23,23
276,Two tits for a tat,Random,1,Beta = 0.9,3,3
277,Two tits for a tat,Random,10,Beta = 0.95,31,27
278,Two tits for a tat,Random,107,Beta = 0.99,336,228
279,Two tits for a tat,Always Cooperate,5,5 rounds,15,15
280,Two tits for a tat,Always Cooperate,100,100 rounds,300,300
281,Two tits for a tat,Always Cooperate,200,200 rounds,600,600
282,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
283,Two tits for a tat,Always Cooperate,5,Beta = 0.95,15,15
284,Two tits for a tat,Always Cooperate,45,Beta = 0.99,135,135
285,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
286,Two tits for a tat,Always Cooperate,7,Beta = 0.95,21,21
287,Two tits for a tat,Always Cooperate,103,Beta = 0.99,309,309
288,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
289,Two tits for a tat,Always Cooperate,15,Beta = 0.95,45,45
290,Two tits for a tat,Always Cooperate,86,Beta = 0.99,258,258
291,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
292,Two tits for a tat,Always Cooperate,4,Beta = 0.95,12,12
293,Two tits for a tat,Always Cooperate,31,Beta = 0.99,93,93
294,Two tits for a tat,Always Cooperate,4,Beta = 0.9,12,12
295,Two tits for a tat,Always Cooperate,33,Beta = 0.95,99,99
296,Two tits for a tat,Always Cooperate,55,Beta = 0.99,165,165
297,Two tits for a tat,Always Cooperate,4,Beta = 0.9,12,12
298,Two tits for a tat,Always Cooperate,19,Beta = 0.95,57,57
299,Two tits for a tat,Always Cooperate,194,Beta = 0.99,582,582
300,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
301,Two tits for a tat,Always Cooperate,4,Beta = 0.95,12,12
302,Two tits for a tat,Always Cooperate,461,Beta = 0.99,1383,1383
303,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
304,Two tits for a tat,Always Cooperate,22,Beta = 0.95,66,66
305,Two tits for a tat,Always Cooperate,114,Beta = 0.99,342,342
306,Two tits for a tat,Always Cooperate,5,Beta = 0.9,15,15
307,Two tits for a tat,Always Cooperate,31,Beta = 0.95,93,93
308,Two tits for a tat,Always Cooperate,118,Beta = 0.99,354,354
309,Two tits for a tat,Always Cooperate,3,Beta = 0.9,9,9
310,Two tits for a tat,Always Cooperate,23,Beta = 0.95,69,69
311,Two tits for a tat,Always Cooperate,101,Beta = 0.99,303,303
312,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
313,Two tits for a tat,Always Cooperate,63,Beta = 0.95,189,189
314,Two tits for a tat,Always Cooperate,127,Beta = 0.99,381,381
315,Two tits for a tat,Always Cooperate,4,Beta = 0.9,12,12
316,Two tits for a tat,Always Cooperate,33,Beta = 0.95,99,99
317,Two tits for a tat,Always Cooperate,22,Beta = 0.99,66,66
318,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
319,Two tits for a tat,Always Cooperate,5,Beta = 0.95,15,15
320,Two tits for a tat,Always Cooperate,89,Beta = 0.99,267,267
321,Two tits for a tat,Always Cooperate,10,Beta = 0.9,30,30
322,Two tits for a tat,Always Cooperate,21,Beta = 0.95,63,63
323,Two tits for a tat,Always Cooperate,87,Beta = 0.99,261,261
324,Two tits for a tat,Always Cooperate,5,Beta = 0.9,15,15
325,Two tits for a tat,Always Cooperate,12,Beta = 0.95,36,36
326,Two tits for a tat,Always Cooperate,5,Beta = 0.99,15,15
327,Two tits for a tat,Always Cooperate,6,Beta = 0.9,18,18
328,Two tits for a tat,Always Cooperate,8,Beta = 0.95,24,24
329,Two tits for a tat,Always Cooperate,197,Beta = 0.99,591,591
330,Two tits for a tat,Always Cooperate,3,Beta = 0.9,9,9
331,Two tits for a tat,Always Cooperate,1,Beta = 0.95,3,3
332,Two tits for a tat,Always Cooperate,20,Beta = 0.99,60,60
333,Two tits for a tat,Always Cooperate,3,Beta = 0.9,9,9
334,Two tits for a tat,Always Cooperate,48,Beta = 0.95,144,144
335,Two tits for a tat,Always Cooperate,36,Beta = 0.99,108,108
336,Two tits for a tat,Always Cooperate,4,Beta = 0.9,12,12
337,Two tits for a tat,Always Cooperate,66,Beta = 0.95,198,198
338,Two tits for a tat,Always Cooperate,58,Beta = 0.99,174,174
339,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
340,Two tits for a tat,Always Cooperate,1,Beta = 0.95,3,3
341,Two tits for a tat,Always Cooperate,13,Beta = 0.99,39,39
342,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
343,Two tits for a tat,Always Cooperate,1,Beta = 0.95,3,3
344,Two tits for a tat,Always Cooperate,6,Beta = 0.99,18,18
345,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
346,Two tits for a tat,Always Cooperate,15,Beta = 0.95,45,45
347,Two tits for a tat,Always Cooperate,110,Beta = 0.99,330,330
348,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
349,Two tits for a tat,Always Cooperate,46,Beta = 0.95,138,138
350,Two tits for a tat,Always Cooperate,126,Beta = 0.99,378,378
351,Two tits for a tat,Always Cooperate,1,Beta = 0.9,3,3
352,Two tits for a tat,Always Cooperate,9,Beta = 0.95,27,27
353,Two tits for a tat,Always Cooperate,210,Beta = 0.99,630,630
354,Two tits for a tat,Always Cooperate,12,Beta = 0.9,36,36
355,Two tits for a tat,Always Cooperate,29,Beta = 0.95,87,87
356,Two tits for a tat,Always Cooperate,3,Beta = 0.99,9,9
357,Two tits for a tat,Always Cooperate,8,Beta = 0.9,24,24
358,Two tits for a tat,Always Cooperate,16,Beta = 0.95,48,48
359,Two tits for a tat,Always Cooperate,89,Beta = 0.99,267,267
360,Two tits for a tat,Always Cooperate,2,Beta = 0.9,6,6
361,Two tits for a tat,Always Cooperate,2,Beta = 0.95,6,6
362,Two tits for a tat,Always Cooperate,183,Beta = 0.99,549,549
363,Two tits for a tat,Always Cooperate,9,Beta = 0.9,27,27
364,Two tits for a tat,Always Cooperate,27,Beta = 0.95,81,81
365,Two tits for a tat,Always Cooperate,67,Beta = 0.99,201,201
366,Two tits for a tat,Always Cooperate,7,Beta = 0.9,21,21
367,Two tits for a tat,Always Cooperate,2,Beta = 0.95,6,6
368,Two tits for a tat,Always Cooperate,40,Beta = 0.99,120,120
369,Two tits for a tat,Always Cooperate,5,Beta = 0.9,15,15
370,Two tits for a tat,Always Cooperate,28,Beta = 0.95,84,84
371,Two tits for a tat,Always Cooperate,26,Beta = 0.99,78,78
372,Two tits for a tat,Tit for a tat,5,5 rounds,15,15
373,Two tits for a tat,Tit for a tat,100,100 rounds,300,300
374,Two tits for a tat,Tit for a tat,200,200 rounds,600,600
375,Two tits for a tat,Tit for a tat,3,Beta = 0.9,9,9
376,Two tits for a tat,Tit for a tat,1,Beta = 0.95,3,3
377,Two tits for a tat,Tit for a tat,7,Beta = 0.99,21,21
378,Two tits for a tat,Tit for a tat,8,Beta = 0.9,24,24
379,Two tits for a tat,Tit for a tat,16,Beta = 0.95,48,48
380,Two tits for a tat,Tit for a tat,32,Beta = 0.99,96,96
381,Two tits for a tat,Tit for a tat,2,Beta = 0.9,6,6
382,Two tits for a tat,Tit for a tat,39,Beta = 0.95,117,117
383,Two tits for a tat,Tit for a tat,1,Beta = 0.99,3,3
384,Two tits for a tat,Tit for a tat,1,Beta = 0.9,3,3
385,Two tits for a tat,Tit for a tat,1,Beta = 0.95,3,3
386,Two tits for a tat,Tit for a tat,19,Beta = 0.99,57,57
387,Two tits for a tat,Tit for a tat,2,Beta = 0.9,6,6
388,Two tits for a tat,Tit for a tat,32,Beta = 0.95,96,96
389,Two tits for a tat,Tit for a tat,43,Beta = 0.99,129,129
390,Two tits for a tat,Tit for a tat,3,Beta = 0.9,9,9
391,Two tits for a tat,Tit for a tat,33,Beta = 0.95,99,99
392,Two tits for a tat,Tit for a tat,324,Beta = 0.99,972,972
393,Two tits for a tat,Tit for a tat,1,Beta = 0.9,3,3
394,Two tits for a tat,Tit for a tat,5,Beta = 0.95,15,15
395,Two tits for a tat,Tit for a tat,36,Beta = 0.99,108,108
396,Two tits for a tat,Tit for a tat,12,Beta = 0.9,36,36
397,Two tits for a tat,Tit for a tat,30,Beta = 0.95,90,90
398,Two tits for a tat,Tit for a tat,54,Beta = 0.99,162,162
399,Two tits for a tat,Tit for a tat,2,Beta = 0.9,6,6
400,Two tits for a tat,Tit for a tat,3,Beta = 0.95,9,9
401,Two tits for a tat,Tit for a tat,228,Beta = 0.99,684,684
402,Two tits for a tat,Tit for a tat,1,Beta = 0.9,3,3
403,Two tits for a tat,Tit for a tat,13,Beta = 0.95,39,39
